protocol,horizon,seed,arch,scored_on,n_test,test_positive_rate,threshold,accuracy,balanced_accuracy,f1,recall,specificity,precision,roc_auc,pr_auc,pr_auc_lift,n_synthetic,description
inflated,4,1,lstm,test set as the protocol leaves it,55278,0.4989507579869026,0.5,0.9969608162379247,0.9969666490855165,0.9969629040422301,0.9997462020956456,0.9941870960753872,0.9941950603930052,0.9997139476819941,0.9995137630196936,2.003231274870477,136738,random 80/20 split of all windows; SMOTE applied before splitting; accuracy at 0.5
inflated_natural_test,4,1,lstm,real windows only,27987,0.010361953764247686,0.5,0.9942473291170901,0.9970935480376937,0.7827260458839407,1.0,0.9941870960753872,0.6430155210643016,0.9995002570924525,0.9316594178553599,89.91155906040674,136738,"random 80/20 split of all windows; SMOTE applied before splitting; accuracy at 0.5; scored only on the real (non-synthetic) test windows, at the natural base rate"
half_fixed,4,1,lstm,test set as the protocol leaves it,66415,0.5203944891967176,0.5,0.8581194007377851,0.8629440126910464,0.8452633134637173,0.7446617672588391,0.9812262581232537,0.977292576419214,0.9522443280050008,0.9621302372322894,1.8488478590875095,136738,"chronological split, but SMOTE applied before splitting, so synthetic positives cross the boundary"
half_fixed_natural_test,4,1,lstm,real windows only,32216,0.011267693071765582,0.5,0.9774956543332506,0.8156819995850428,0.3943191311612364,0.650137741046832,0.9812262581232537,0.2829736211031175,0.9199032331632943,0.4374161487484607,38.82038195063474,136738,"chronological split, but SMOTE applied before splitting, so synthetic positives cross the boundary; scored only on the real (non-synthetic) test windows, at the natural base rate"
correct,4,1,lstm,real windows only,32216,0.011267693071765582,0.9994528889656067,0.9844797616091383,0.5196369098784456,0.060150375939849635,0.0440771349862259,0.9951966847706653,0.09467455621301775,0.7842582476197691,0.05087535345732482,4.515152581215363,0,inherited chronological split; SMOTE fitted and applied inside train only; threshold chosen on val
inflated,4,2,lstm,test set as the protocol leaves it,55278,0.499222113679945,0.5,0.9978472448351966,0.9978497444927172,0.9978473616613304,0.9994564429627483,0.9962430460226862,0.9962434531334657,0.9998040011055089,0.9996898030102687,2.0024950330048426,136738,random 80/20 split of all windows; SMOTE applied before splitting; accuracy at 0.5
inflated_natural_test,4,2,lstm,real windows only,27960,0.00994277539341917,0.5,0.9962804005722461,0.9981215230113432,0.8424242424242425,1.0,0.9962430460226862,0.7277486910994765,0.9997243228464696,0.9603945357469889,96.59219863124392,136738,"random 80/20 split of all windows; SMOTE applied before splitting; accuracy at 0.5; scored only on the real (non-synthetic) test windows, at the natural base rate"
half_fixed,4,2,lstm,test set as the protocol leaves it,66275,0.5193813655224444,0.5,0.8727423613730668,0.8766605356100797,0.8635893122856959,0.7755795712044623,0.9777415000156972,0.9741297526089178,0.9657480987040242,0.9681260901383522,1.8639985074638106,136738,"chronological split, but SMOTE applied before splitting, so synthetic positives cross the boundary"
half_fixed_natural_test,4,2,lstm,real windows only,32216,0.011267693071765582,0.5,0.9743605661782965,0.8277137252144602,0.37329286798179057,0.6776859504132231,0.9777415000156972,0.25759162303664923,0.9357903502824917,0.33833342261097804,30.026858244725258,136738,"chronological split, but SMOTE applied before splitting, so synthetic positives cross the boundary; scored only on the real (non-synthetic) test windows, at the natural base rate"
correct,4,2,lstm,real windows only,32216,0.011267693071765582,0.9999849796295166,0.9850074497144277,0.510371767206431,0.03592814371257485,0.024793388429752067,0.9959501459831099,0.06521739130434782,0.7670040550431436,0.03556750221917969,3.1565913264272534,0,inherited chronological split; SMOTE fitted and applied inside train only; threshold chosen on val
inflated,4,3,lstm,test set as the protocol leaves it,55278,0.49810051014870294,0.5,0.9982090524259198,0.9982139061224838,0.9982045376230979,0.9994915377351637,0.9969362745098039,0.9969208476725231,0.9998172366833197,0.9996924980202329,2.007009584715713,136738,random 80/20 split of all windows; SMOTE applied before splitting; accuracy at 0.5
inflated_natural_test,4,3,lstm,real windows only,28013,0.009602684467925606,0.5,0.9969656944989826,0.998468137254902,0.8635634028892456,1.0,0.9969362745098039,0.7598870056497176,0.9997199568653178,0.9566163673068961,99.61968140285532,136738,"random 80/20 split of all windows; SMOTE applied before splitting; accuracy at 0.5; scored only on the real (non-synthetic) test windows, at the natural base rate"
half_fixed,4,3,lstm,test set as the protocol leaves it,66226,0.5190257602754206,0.5,0.85342614683055,0.8581281365007447,0.8387675442239017,0.7345591016204579,0.9816971713810316,0.9774310932177145,0.9497984944364415,0.958671264223605,1.8470591203698385,136738,"chronological split, but SMOTE applied before splitting, so synthetic positives cross the boundary"
half_fixed_natural_test,4,3,lstm,real windows only,32216,0.011267693071765582,0.5,0.9779612614849764,0.8159174562139317,0.39932318104906933,0.650137741046832,0.9816971713810316,0.28815628815628813,0.9145468867444535,0.393105136124914,34.887810097521296,136738,"chronological split, but SMOTE applied before splitting, so synthetic positives cross the boundary; scored only on the real (non-synthetic) test windows, at the natural base rate"
correct,4,3,lstm,real windows only,32216,0.011267693071765582,0.9983263611793518,0.9854730568661535,0.5119689371950469,0.04098360655737705,0.027548209366391185,0.9963896650237026,0.08,0.7901854844728785,0.037333913897432874,3.3133591463352547,0,inherited chronological split; SMOTE fitted and applied inside train only; threshold chosen on val
inflated,4,4,lstm,test set as the protocol leaves it,55278,0.4999457288613915,0.5,0.9968160932016353,0.9968163680640663,0.9968237926802859,0.9993486756404689,0.9942840604876637,0.9943116359447005,0.9997614104132662,0.9996855633030837,1.999588166459251,136738,random 80/20 split of all windows; SMOTE applied before splitting; accuracy at 0.5
inflated_natural_test,4,4,lstm,real windows only,27954,0.0111611933891393,0.5,0.9943478571939615,0.9971420302438319,0.7979539641943734,1.0,0.9942840604876637,0.6638297872340425,0.9996485513497669,0.9609662781525808,86.0988824983245,136738,"random 80/20 split of all windows; SMOTE applied before splitting; accuracy at 0.5; scored only on the real (non-synthetic) test windows, at the natural base rate"
half_fixed,4,4,lstm,test set as the protocol leaves it,66384,0.5201705230175946,0.5,0.8601319595083152,0.8649469048563468,0.847228392319463,0.7455909183052909,0.9843028914074028,0.9809494780156977,0.9590482456530771,0.964805925714429,1.8547877725124282,136738,"chronological split, but SMOTE applied before splitting, so synthetic positives cross the boundary"
half_fixed_natural_test,4,4,lstm,real windows only,32216,0.011267693071765582,0.5,0.9806307424882046,0.821352547632076,0.4337568058076225,0.6584022038567493,0.9843028914074028,0.3234100135317997,0.924134490404829,0.3969997525703009,35.233454624806654,136738,"chronological split, but SMOTE applied before splitting, so synthetic positives cross the boundary; scored only on the real (non-synthetic) test windows, at the natural base rate"
correct,4,4,lstm,real windows only,32216,0.011267693071765582,0.998329222202301,0.98451080208592,0.5264611737856729,0.07763401109057301,0.05785123966942149,0.9950711079019244,0.11797752808988764,0.7568134316050168,0.04215168269537372,3.7409328091299168,0,inherited chronological split; SMOTE fitted and applied inside train only; threshold chosen on val
