horizon,arch,treatment,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,recall_mean,recall_std,specificity_mean,specificity_std,precision_mean,precision_std,accuracy_mean,accuracy_std,cost_1to1_mean,cost_1to1_std,cost_1to10_mean,cost_1to10_std,cost_1to20_mean,cost_1to20_std,cost_1to50_mean,cost_1to50_std,n_seeds
1,cnn_lstm_attn,cost_threshold_1to10,0.8352821142762366,0.03551634278824984,0.03958615420049534,0.006944065548115864,0.04315404091000164,0.035631564109165174,0.03333333333333333,0.03908679799852858,0.9995397437492226,0.0007899237277451197,0.19595959595959594,0.18935689873479483,0.9977402532902906,0.0007177669803062668,0.0022597467097094613,0.0007177669803062742,0.01846287558976906,0.0001841618695578758,0.03646635212316861,0.0007113621311463224,0.09047678172336727,0.002877771960430717,5
1,cnn_lstm_attn,cost_threshold_1to20,0.8352821142762366,0.03551634278824984,0.03958615420049534,0.006944065548115864,0.0750799637425363,0.015083065821356179,0.08666666666666667,0.03613247231446467,0.9978293320064685,0.0013495413713263502,0.09885520894425155,0.0703142368389544,0.9961323565929974,0.0012852031933378676,0.0038676434070027315,0.0012852031933378348,0.019176806555748698,0.0007711544021284035,0.0361869878321331,0.0005296927988006334,0.08721753166128632,0.0021845969124939225,5
1,cnn_lstm_attn,cost_threshold_1to50,0.8352821142762366,0.03551634278824984,0.03958615420049534,0.006944065548115864,0.05153801796110269,0.019404221805481372,0.26666666666666666,0.06009252125773315,0.9809118049508646,0.008433211674133296,0.029065751183389794,0.012146419047734343,0.9795815743729823,0.008368198215081491,0.02041842562701763,0.008368198215081512,0.03271045443258008,0.007981550249877886,0.04636826421653837,0.007685116811925037,0.08734169356841322,0.007756250587726433,5
1,cnn_lstm_attn,focal,0.7948220135174358,0.01740120860640716,0.028032290723728214,0.0058915030893837705,0.06868165839422904,0.027068924257336906,0.06666666666666667,0.037267799624996496,0.9986005722104739,0.000843964842960065,0.08579297988015966,0.017380130480181877,0.9968649118450459,0.0007775623944546291,0.0031350881549540603,0.0007775623944546404,0.018779488452942635,0.00030492430320940705,0.03616215545070772,0.0006632065004724805,0.08831015644400299,0.0026947174527272547,5
1,cnn_lstm_attn,none,0.8352821142762366,0.03551634278824984,0.03958615420049534,0.006944065548115864,0.07492151652526555,0.015090030954690905,0.08,0.03205897343611891,0.9981403159596965,0.0010445543155926415,0.10116492023034078,0.06868926813631927,0.9964303451701019,0.0009881895567253342,0.0035696548298981877,0.0009881895567253297,0.018990563695058357,0.0005502137936061704,0.03612490687856966,0.00048107732222645434,0.08752793642910354,0.002072564987317359,5
1,cnn_lstm_attn,smote,0.7539217668034996,0.06244307741872712,0.02355445724695029,0.007711241060299652,0.07480035108007345,0.043008800322977395,0.06999999999999999,0.04772607021092118,0.9986938673964424,0.0006600629828582843,0.09115490582697658,0.03622171587366546,0.9969642413707474,0.0006060449397499819,0.0030357586292525454,0.0006060449397499765,0.018624286069034022,0.0006909557142274665,0.03594487211323566,0.0014494606476422324,0.08790663024584058,0.004056160188618808,5
1,lstm,class_weight,0.8329006509930755,0.03029474371816683,0.06493962462543863,0.013792001658755437,0.10242375183995955,0.01833899336809997,0.09333333333333334,0.03456073558887953,0.9986627690011195,0.001053909889465759,0.15018759018759018,0.05994202635699309,0.9969766575614601,0.0009946523508067998,0.003023342438539856,0.000994652350806819,0.018220759870871617,0.0005539659888743086,0.03510677924012913,0.0005794684226035035,0.08576483734790166,0.002322545467087202,5
1,lstm,cost_threshold_1to1,0.8001268296222582,0.06729257628739226,0.06788293979062957,0.02405659808824008,0.022445937881418705,0.022042394740615097,0.013333333333333332,0.013944333775567926,0.9998445080233861,0.0002220869644403132,0.1162907268170426,0.13691415290996156,0.9980072013906133,0.00019802753796544788,0.00199279860938664,0.00019802753796544062,0.01853116463868885,0.00010294961479871525,0.03690712689346908,0.000327031715695703,0.09203501365780978,0.0010978854720528589,5
1,lstm,cost_threshold_1to10,0.8001268296222582,0.06729257628739226,0.06788293979062957,0.02405659808824008,0.10148609648851922,0.036255079626952624,0.09333333333333334,0.05602578771323869,0.9985943525314094,0.0017805562698993077,0.18112814770149596,0.12013559722518093,0.9969083685125403,0.0016847288474805678,0.0030916314874596474,0.001684728847480559,0.01828904891979141,0.0009673479603070511,0.035175068289048914,0.0009436509153097272,0.08583312639682146,0.003717503709097631,5
1,lstm,cost_threshold_1to20,0.8001268296222582,0.06729257628739226,0.06788293979062957,0.02405659808824008,0.10503089306871091,0.035976529195901226,0.16999999999999998,0.04314059701848262,0.9955591491479039,0.0027312996696363255,0.08537994592836853,0.045798986549620745,0.99402160417184,0.0026890442251903896,0.00597839582815992,0.0026890442251903787,0.019890737521728336,0.002449583371309367,0.03534889495902657,0.0024206994976587247,0.08172336727092128,0.0036310326618638165,5
1,lstm,cost_threshold_1to50,0.8001268296222582,0.06729257628739226,0.06788293979062957,0.02405659808824008,0.04922207383522074,0.011133887520001383,0.3,0.05137011669140811,0.9786167433760419,0.006956892450236095,0.02700928572824881,0.006633624416399102,0.9773528681400545,0.006897994353195121,0.02264713185994537,0.00689799435319511,0.0343804320834368,0.006533212965350737,0.047417432331760614,0.006243250042333702,0.08652843307673205,0.006232824165597557,5
1,lstm,focal,0.7870690280714848,0.041177695606009417,0.06341511958614174,0.017704893695398814,0.11517359571887195,0.025600494252738668,0.10666666666666666,0.048016200969626444,0.998712526433636,0.0008409801918928061,0.15670155993431856,0.06503693703543342,0.9970511547057364,0.0007600164233111274,0.00294884529426372,0.0007600164233111061,0.017922771293767074,0.00039300234754200043,0.0345604668487708,0.0010971392531063226,0.08447355351378197,0.003734712461183568,5
1,lstm,none,0.8001268296222582,0.06729257628739226,0.06788293979062957,0.02405659808824008,0.10148609648851922,0.036255079626952624,0.09333333333333334,0.05602578771323869,0.9985943525314094,0.0017805562698993077,0.18112814770149596,0.12013559722518093,0.9969083685125403,0.0016847288474805678,0.0030916314874596474,0.001684728847480559,0.01828904891979141,0.0009673479603070511,0.035175068289048914,0.0009436509153097272,0.08583312639682146,0.003717503709097631,5
1,lstm,smote,0.7498553924617489,0.0323958628590981,0.02169684079696061,0.011435419230858874,0.05041178660443237,0.019996440826702665,0.03666666666666667,0.013944333775567927,0.9991852220425426,0.00021923817305651873,0.08324296812412262,0.038448144783403554,0.9973925999503352,0.00023228565847865614,0.002607400049664763,0.00023228565847864023,0.01875465607151726,0.00041144734491257724,0.03669605165135337,0.0006523671485644966,0.09052023839086168,0.0014155614575922534,5
1,transformer,class_weight,0.8135251586018161,0.029413633335180368,0.0774092670320006,0.02957830295205681,0.12021655433393694,0.030782733174963495,0.10333333333333332,0.0320589734361189,0.9988058216196045,0.0007647929418554639,0.16708987529883051,0.07104392976678876,0.997138068040725,0.0007356658483214867,0.0028619319592748946,0.0007356658483214906,0.01789173081698535,0.0006987900082073622,0.034591507325552516,0.0010520844382575043,0.08469083685125403,0.002690835178344836,5
1,transformer,cost_threshold_1to1,0.8075987374051499,0.0593769722550355,0.041090535305163815,0.03623534740436092,0.013008989952406135,0.017814274280374482,0.006666666666666666,0.009128709291752768,0.9999626819256126,4.0547346717277234e-05,0.3,0.4472135954999579,0.9981127390116711,5.100470798720049e-05,0.0018872609883287806,5.10047079871958e-05,0.018537372734045196,0.0001931007079090617,0.03703749689595232,0.00036159157855533626,0.0925378693816737,0.0008706286579965281,5
1,transformer,cost_threshold_1to10,0.8075987374051499,0.0593769722550355,0.041090535305163815,0.03623534740436092,0.0537589199614272,0.06517361540297208,0.043333333333333335,0.05725188012439223,0.9992598581913172,0.000693780038906996,0.13080645161290322,0.21314471885519115,0.9974795132853241,0.0006366703710323767,0.0025204867146759375,0.0006366703710324541,0.018555997020114227,0.0008722871050986297,0.036373230692823444,0.0018210207283378993,0.08982493171095109,0.004962371425690431,5
1,transformer,cost_threshold_1to20,0.8075987374051499,0.0593769722550355,0.041090535305163815,0.03623534740436092,0.06289456364700889,0.049570721533164386,0.10666666666666666,0.07870479302078397,0.9961127005846497,0.002605499950165029,0.04533789118569219,0.03615131641063316,0.9944561708467843,0.0025531240301814567,0.005543829153215793,0.0025531240301814515,0.02051775515271915,0.002499577638093411,0.03715545070772287,0.0031669653967624435,0.08706853737273404,0.006867210050046764,5
1,transformer,cost_threshold_1to50,0.8075987374051499,0.0593769722550355,0.041090535305163815,0.03623534740436092,0.05054116303462571,0.038581401524488614,0.15,0.14385563751360056,0.992206742132106,0.008380558840035556,0.033298714250580515,0.026399419903546884,0.9906381922026324,0.008126252170123197,0.009361807797367767,0.008126252170123178,0.02360938664017879,0.0060883899263274414,0.03944002979885771,0.004303591676425501,0.08693195927489447,0.007001144960688978,5
1,transformer,focal,0.8114696583322967,0.019018942964894682,0.011627233818718243,0.0016088484001030052,0.016742896742896744,0.023875136127688993,0.02,0.02738612787525831,0.9983393456897623,0.0012623803601950962,0.015326315789473683,0.023300232424268447,0.9965172585050907,0.0012207631921223527,0.003482741494909362,0.0012207631921223438,0.019909361807797368,0.0009207047044175123,0.038161162155450706,0.0007924749834548496,0.09291656319841073,0.0017580532482346378,5
1,transformer,none,0.8075987374051499,0.0593769722550355,0.041090535305163815,0.03623534740436092,0.05832512766037863,0.05875658460811206,0.07666666666666666,0.0760116950066092,0.9980967782062444,0.0016689729698229569,0.04960623339140841,0.05405263700640891,0.9963806804072511,0.0015477654517618918,0.0036193195927489443,0.0015477654517618957,0.019096101316116214,0.000885170778377828,0.03629252545319096,0.0016733667398568758,0.0878817978644152,0.005735789621884604,5
1,transformer,smote,0.7354083219305884,0.04035784608743232,0.03545449194724408,0.007210640465272629,0.07714061294575306,0.027045356152795276,0.09,0.05962847939999439,0.9980345814155989,0.0018109842853913749,0.10770739900711182,0.04246077452787608,0.996343431835113,0.001700071922934592,0.0036565681648870127,0.0017000719229345773,0.018909858455425876,0.0007779959737101587,0.03585795877824684,0.0006400663729218762,0.08670225974670971,0.0038239297399122883,5
