bin,n,mean_predicted,observed_rate,gap,horizon,model
9,3222,0.004480072106625359,0.0,-0.004480072106625359,3,altman_zdp
0,3222,1.1197732095692813e-06,0.0,-1.1197732095692813e-06,3,xgboost
1,3222,3.6258478063558763e-06,0.0,-3.6258478063558763e-06,3,xgboost
2,3221,8.282765487666537e-06,0.0,-8.282765487666537e-06,3,xgboost
3,3222,1.7822310559758316e-05,0.0006207324643078833,0.000602910153748125,3,xgboost
4,3221,3.7932697473240894e-05,0.0006209251785159888,0.0005829924810427479,3,xgboost
5,3222,8.486456110465077e-05,0.0021725636250775914,0.002087699063972941,3,xgboost
6,3221,0.00020554223282296514,0.003104625892579944,0.002899083659756979,3,xgboost
7,3222,0.0005983284253184525,0.005896958410924891,0.0052986299856064385,3,xgboost
8,3221,0.0025194308024639417,0.01334989133809376,0.010830460535629818,3,xgboost
9,3222,0.07560227720458858,0.05493482309124767,-0.020667454113340908,3,xgboost
0,3222,0.0007602994570392689,0.0006207324643078833,-0.00013956699273138563,3,transformer
1,3222,0.0008941110922348836,0.000931098696461825,3.698760422694131e-05,3,transformer
2,3221,0.0010994887425099002,0.0,-0.0010994887425099002,3,transformer
3,3222,0.0014608018907436824,0.0,-0.0014608018907436824,3,transformer
4,3221,0.0021387847534096627,0.0003104625892579944,-0.0018283221641516682,3,transformer
5,3222,0.0035734374842402413,0.0015518311607697084,-0.002021606323470533,3,transformer
6,3221,0.006917574866225226,0.006830176963675877,-8.739790254934897e-05,3,transformer
7,3222,0.015068493240636043,0.008379888268156424,-0.0066886049724796184,3,transformer
8,3221,0.035578837208808375,0.019559143123253648,-0.016019694085554727,3,transformer
9,3222,0.18426898166694528,0.04252017380509,-0.14174880786185529,3,transformer
0,3222,0.0003626275193105535,0.0,-0.0003626275193105535,3,C_lstm
1,3222,0.0008571189219222538,0.0,-0.0008571189219222538,3,C_lstm
2,3221,0.0017584455859503579,0.0009313877677739833,-0.0008270578181763746,3,C_lstm
3,3222,0.0031059460187230254,0.0012414649286157666,-0.0018644810901072588,3,C_lstm
4,3221,0.005210823197298282,0.0009313877677739833,-0.004279435429524299,3,C_lstm
5,3222,0.00931584646981406,0.0015518311607697084,-0.007764015309044352,3,C_lstm
6,3221,0.017834163086418872,0.003104625892579944,-0.014729537193838928,3,C_lstm
7,3222,0.03476650258878848,0.006517690875232775,-0.028248811713555706,3,C_lstm
8,3221,0.08091224869727644,0.013660353927351754,-0.06725189476992469,3,C_lstm
9,3222,0.32060384652320084,0.05276225946617008,-0.26784158705703076,3,C_lstm
0,3222,0.0052217704996571955,0.03569211669770329,0.030470346198046092,4,altman_zdp
1,3222,0.005224528170509495,0.03196772191185599,0.026743193741346497,4,altman_zdp
2,3221,0.005224557669377629,0.026389320086929523,0.021164762417551893,4,altman_zdp
3,3222,0.005224567019779388,0.008690254500310366,0.003465687480530978,4,altman_zdp
4,3221,0.0052245707365372596,0.0046569388388699165,-0.0005676318976673431,4,altman_zdp
5,3222,0.005224573693869635,0.0012414649286157666,-0.003983108765253868,4,altman_zdp
6,3221,0.005224576731960923,0.0034150884818379386,-0.0018094882501229845,4,altman_zdp
7,3222,0.005224580239332795,0.0,-0.005224580239332795,4,altman_zdp
8,3221,0.00522458532030453,0.0006209251785159888,-0.004603660141788541,4,altman_zdp
9,3222,0.00522461938401703,0.0,-0.00522461938401703,4,altman_zdp
0,3222,2.5975738200853193e-06,0.0,-2.5975738200853193e-06,4,xgboost
1,3222,6.607529875583456e-06,0.0,-6.607529875583456e-06,4,xgboost
2,3221,1.317371893911547e-05,0.0003104625892579944,0.0002972888703188789,4,xgboost
3,3222,2.6402250187015387e-05,0.00031036623215394165,0.00028396398196692626,4,xgboost
4,3221,5.4587878458642394e-05,0.001552312946289972,0.0014977250678313296,4,xgboost
5,3222,0.00011731008625089831,0.0021725636250775914,0.0020552535388266933,4,xgboost
6,3221,0.00027616478350084045,0.00776156473144986,0.00748539994794902,4,xgboost
7,3222,0.0007865718277336013,0.008379888268156424,0.007593316440422823,4,xgboost
8,3221,0.003262538937357356,0.022042843837317604,0.018780304899960246,4,xgboost
9,3222,0.08623356789840163,0.07014276846679081,-0.01609079943161082,4,xgboost
0,3222,0.0007894977238254702,0.0,-0.0007894977238254702,4,transformer
1,3222,0.0010828310466232153,0.000931098696461825,-0.00015173235016139035,4,transformer
2,3221,0.0015678827009530717,0.0009313877677739833,-0.0006364949331790884,4,transformer
