horizon,model,level,budget,n,n_positive,base_rate,k,tp,precision,recall,lift
3,xgboost,firm,k=200,3391,116,0.03420819817163079,200,44,0.22,0.3793103448275862,6.431206896551724
3,xgboost,firm,top 1%,3391,116,0.03420819817163079,34,13,0.38235294117647056,0.11206896551724138,11.177231237322514
3,xgboost,firm,top 5%,3391,116,0.03420819817163079,170,42,0.24705882352941178,0.3620689655172414,7.222210953346856
3,transformer,window,k=50,32216,260,0.008070523963248075,50,14,0.28,0.05384615384615385,34.69415384615385
3,transformer,window,k=100,32216,260,0.008070523963248075,100,22,0.22,0.08461538461538462,27.259692307692312
3,transformer,window,k=200,32216,260,0.008070523963248075,200,36,0.18,0.13846153846153847,22.303384615384616
3,transformer,window,top 1%,32216,260,0.008070523963248075,322,47,0.14596273291925466,0.18076923076923077,18.085905398948878
3,transformer,window,top 5%,32216,260,0.008070523963248075,1611,102,0.0633147113594041,0.3923076923076923,7.845179773671395
3,transformer,firm,k=50,3391,116,0.03420819817163079,50,15,0.3,0.12931034482758622,8.769827586206896
3,transformer,firm,k=100,3391,116,0.03420819817163079,100,21,0.21,0.1810344827586207,6.138879310344827
3,transformer,firm,k=200,3391,116,0.03420819817163079,200,31,0.155,0.2672413793103448,4.531077586206896
3,transformer,firm,top 1%,3391,116,0.03420819817163079,34,11,0.3235294117647059,0.09482758620689655,9.45765720081136
3,transformer,firm,top 5%,3391,116,0.03420819817163079,170,28,0.16470588235294117,0.2413793103448276,4.814807302231237
3,C_lstm,window,k=50,32216,260,0.008070523963248075,50,18,0.36,0.06923076923076923,44.60676923076923
3,C_lstm,window,k=100,32216,260,0.008070523963248075,100,26,0.26,0.1,32.216
3,C_lstm,window,k=200,32216,260,0.008070523963248075,200,36,0.18,0.13846153846153847,22.303384615384616
3,C_lstm,window,top 1%,32216,260,0.008070523963248075,322,54,0.16770186335403728,0.2076923076923077,20.779550883898715
3,C_lstm,window,top 5%,32216,260,0.008070523963248075,1611,118,0.07324643078833024,0.45384615384615384,9.075796208757104
3,C_lstm,firm,k=50,3391,116,0.03420819817163079,50,18,0.36,0.15517241379310345,10.523793103448275
3,C_lstm,firm,k=100,3391,116,0.03420819817163079,100,31,0.31,0.2672413793103448,9.062155172413792
3,C_lstm,firm,k=200,3391,116,0.03420819817163079,200,45,0.225,0.3879310344827586,6.577370689655172
3,C_lstm,firm,top 1%,3391,116,0.03420819817163079,34,14,0.4117647058823529,0.1206896551724138,12.037018255578092
3,C_lstm,firm,top 5%,3391,116,0.03420819817163079,170,40,0.23529411764705882,0.3448275862068966,6.878296146044624
4,altman_zdp,window,k=50,32216,363,0.011267693071765582,50,0,0.0,0.0,0.0
4,altman_zdp,window,k=100,32216,363,0.011267693071765582,100,0,0.0,0.0,0.0
4,altman_zdp,window,k=200,32216,363,0.011267693071765582,200,1,0.005,0.0027548209366391185,0.4437465564738292
4,altman_zdp,window,top 1%,32216,363,0.011267693071765582,322,1,0.003105590062111801,0.0027548209366391185,0.2756189791762914
4,altman_zdp,window,top 5%,32216,363,0.011267693071765582,1611,41,0.025450031036623216,0.11294765840220386,2.258672726930726
4,altman_zdp,firm,k=50,3391,123,0.03627248599233265,50,1,0.02,0.008130081300813009,0.5513821138211382
4,altman_zdp,firm,k=100,3391,123,0.03627248599233265,100,2,0.02,0.016260162601626018,0.5513821138211382
4,altman_zdp,firm,k=200,3391,123,0.03627248599233265,200,6,0.03,0.04878048780487805,0.8270731707317073
4,altman_zdp,firm,top 1%,3391,123,0.03627248599233265,34,0,0.0,0.0,0.0
4,altman_zdp,firm,top 5%,3391,123,0.03627248599233265,170,3,0.01764705882352941,0.024390243902439025,0.4865136298421808
4,xgboost,window,k=50,32216,363,0.011267693071765582,50,20,0.4,0.05509641873278237,35.49972451790634
4,xgboost,window,k=100,32216,363,0.011267693071765582,100,25,0.25,0.06887052341597796,22.18732782369146
4,xgboost,window,k=200,32216,363,0.011267693071765582,200,48,0.24,0.1322314049586777,21.299834710743802
4,xgboost,window,top 1%,32216,363,0.011267693071765582,322,65,0.20186335403726707,0.1790633608815427,17.915233646458944
4,xgboost,window,top 5%,32216,363,0.011267693071765582,1611,163,0.10117939168218498,0.4490358126721763,8.979601329017276
4,xgboost,firm,k=50,3391,123,0.03627248599233265,50,17,0.34,0.13821138211382114,9.37349593495935
4,xgboost,firm,k=100,3391,123,0.03627248599233265,100,32,0.32,0.2601626016260163,8.822113821138212
4,xgboost,firm,k=200,3391,123,0.03627248599233265,200,38,0.19,0.3089430894308943,5.238130081300813
4,xgboost,firm,top 1%,3391,123,0.03627248599233265,34,14,0.4117647058823529,0.11382113821138211,11.351984696317551
4,xgboost,firm,top 5%,3391,123,0.03627248599233265,170,37,0.21764705882352942,0.3008130081300813,6.000334768053563
4,transformer,window,k=50,32216,363,0.011267693071765582,50,13,0.26,0.03581267217630854,23.07482093663912
4,transformer,window,k=100,32216,363,0.011267693071765582,100,22,0.22,0.06060606060606061,19.524848484848487
4,transformer,window,k=200,32216,363,0.011267693071765582,200,30,0.15,0.08264462809917356,13.312396694214875
4,transformer,window,top 1%,32216,363,0.011267693071765582,322,41,0.12732919254658384,0.11294765840220386,11.30037814622795
4,transformer,window,top 5%,32216,363,0.011267693071765582,1611,104,0.06455617628801986,0.2865013774104683,5.729316185385256
