horizon,model_a,model_b,a_pr_auc,b_pr_auc,a_aggregation,b_aggregation,pr_auc_diff,pr_auc_cluster_ci_low,pr_auc_cluster_ci_high,pr_auc_cluster_p,pr_auc_window_level_ci_low,pr_auc_window_level_ci_high,roc_auc_diff,roc_auc_cluster_ci_low,roc_auc_cluster_ci_high,roc_auc_cluster_p,roc_auc_window_level_ci_low,roc_auc_window_level_ci_high,n_clusters,delong_window_level_diff,delong_window_level_ci_low,delong_window_level_ci_high,delong_window_level_p,mcnemar_window_level_b,mcnemar_window_level_c,mcnemar_window_level_p,pr_auc_cluster_excludes_zero
3,xgboost,transformer,0.14008138092926042,0.0901121010593102,single fit,ensemble of 5 seeds,-0.04996927986995023,-0.08637619648380487,-0.0041949906010002366,0.027,-0.08163763718093119,-0.01724276556177996,-0.035026406501247,-0.05469338704901072,-0.01541540251880746,0.001,-0.048120176661178266,-0.020965383893237762,3391,-0.03502640650124689,-0.04833882180415842,-0.021713991198335357,2.5110192918276835e-07,57,193,1.3638817369276776e-17,True
3,xgboost,C_lstm,0.14008138092926042,0.12876318446751664,single fit,ensemble of 5 seeds,-0.011318196461743785,-0.04974974416998514,0.030665844744172954,0.656,-0.04347875769120432,0.023904062006320902,-0.01141521515160282,-0.03187573216663224,0.008900054366921173,0.277,-0.026191376724727315,0.002650585661053109,3391,-0.011415215151602709,-0.025873982116947317,0.0030435518137418988,0.12176824511630648,81,205,3.5121955158407595e-13,False
3,transformer,lstm,0.0901121010593102,0.0383670711472654,ensemble of 5 seeds,ensemble of 5 seeds,-0.0517450299120448,-0.09542511875199405,-0.02264579013521124,0.0,-0.07962874324635344,-0.030372530506616514,-0.09246379637386015,-0.1263583631403403,-0.06039939661844577,0.0,-0.11428534246608305,-0.06972970346245307,3391,-0.09246379637386015,-0.11517239144793365,-0.06975520129978666,1.4575377657944417e-15,41,38,0.8219655979326043,True
3,xgboost,lstm,0.14008138092926042,0.0383670711472654,single fit,ensemble of 5 seeds,-0.10171430978199503,-0.1493372285413383,-0.05695627724855218,0.0,-0.13920448686616782,-0.06918707621968488,-0.12749020287510715,-0.1576295963766795,-0.09707161866397973,0.0,-0.1488132420058349,-0.1068499896492293,3391,-0.12749020287510704,-0.14933178255248689,-0.10564862319772719,2.6269970001123947e-30,66,199,5.116607192660405e-16,True
3,transformer,C_lstm,0.0901121010593102,0.12876318446751664,ensemble of 5 seeds,ensemble of 5 seeds,0.038651083408206444,-0.0004741557025317867,0.07193538149696208,0.056,0.008865186276630873,0.06881238755150544,0.02361119134964418,0.005211864124176446,0.041687011130657314,0.013,0.010218368164880554,0.0372307565932003,3391,0.02361119134964418,0.010317226921305038,0.03690515577798332,0.0004994340402517897,61,49,0.2942661043049598,False
4,xgboost,transformer,0.1510115455817815,0.07292686684674927,single fit,ensemble of 5 seeds,-0.07808467873503223,-0.11655427852254256,-0.03854366636482855,0.0,-0.10181204293747002,-0.052061605158061526,-0.04399350355917886,-0.06363887043176175,-0.023966583648034962,0.0,-0.05640865809267227,-0.030786075306856866,3391,-0.04399350355917886,-0.0567585204656286,-0.031228486652729117,1.4299020636386745e-11,49,84,0.003196571954948721,True
4,xgboost,C_lstm,0.1510115455817815,0.12299865368623317,single fit,ensemble of 5 seeds,-0.028012891895548342,-0.06968385155610415,0.01773422925730958,0.262,-0.05538900990177162,0.003858049359201797,-0.018321941902709304,-0.03900204733560007,0.00011312607189082267,0.051,-0.0308640873419987,-0.004790601868656511,3391,-0.018321941902709193,-0.03118682259008933,-0.005457061215329056,0.005248916488466014,119,101,0.251737325886575,False
4,transformer,lstm,0.07292686684674927,0.04656798684403461,ensemble of 5 seeds,ensemble of 5 seeds,-0.026358880002714663,-0.05585341952189538,-0.003916616739907087,0.023,-0.04513889773073467,-0.010909941243368259,-0.08253704020336539,-0.11119115732485778,-0.05394611083288435,0.0,-0.10253900947698871,-0.06375298926136154,3391,-0.08253704020336528,-0.10192790684849794,-0.06314617355823261,7.269425759870435e-17,68,31,0.00029673231129314075,True
4,xgboost,lstm,0.1510115455817815,0.04656798684403461,single fit,ensemble of 5 seeds,-0.1044435587377469,-0.15219343975433974,-0.05958323547564623,0.0,-0.13224704894418274,-0.07600959192612913,-0.12653054376254425,-0.15528239521500145,-0.09680652424839455,0.0,-0.14640040002978552,-0.10723602328153634,3391,-0.12653054376254413,-0.14634367604914245,-0.10671741147594582,6.048796343827662e-36,84,82,0.9381342682829861,True
4,transformer,C_lstm,0.07292686684674927,0.12299865368623317,ensemble of 5 seeds,ensemble of 5 seeds,0.05007178683948389,0.02049684218556903,0.0812706405386148,0.001,0.025690853069980948,0.07855813614230679,0.025671561656469555,0.0042875265999605785,0.04741787115548211,0.025,0.01125716629222788,0.03964924659500313,3391,0.025671561656469666,0.011485313334518823,0.039857809978420505,0.00038998736933397107,109,56,5.161424524815268e-05,True
