model,label,family,horizon,val_roc_auc,val_pr_auc,n,n_pos,base_rate,roc_auc,pr_auc,brier,threshold,tn,fp,fn,tp,precision,recall,specificity,f1,balanced_accuracy,accuracy,alarm_rate,cost_1to1,cost_1to10,cost_1to20,cost_1to50,tuned_val_pr_auc,seconds,params
ohlson_o,Ohlson O-score (1980),formula,3,0.8094688620897724,0.011924833562175507,32216,260,0.008070523963248075,0.8482289349779024,0.02633232806440599,242727.48123895793,-3.694593551717835,25224,6732,57,203,0.02927180966113915,0.7807692307692308,0.7893353360871198,0.05642807505211953,0.7850522834281752,0.7892662031288801,0.21526570648125154,0.21073379687111993,0.22665756146014404,0.24435063322572634,0.2974298485224733,,,
zmijewski,Zmijewski (1984),formula,3,0.8188624040427742,0.013904826013625055,32216,260,0.008070523963248075,0.8544881423495768,0.02953257057934391,635769.5224493521,2.2859596014930856,27247,4709,83,177,0.036225951698731065,0.6807692307692308,0.8526411315558894,0.06879129420909444,0.76670518116256,0.8512540352619816,0.15166376955550037,0.14874596473801838,0.17193320089396574,0.19769679662279613,0.2749875838092873,,,
altman_zdp,"Altman Z'' (1995, four-variable)",formula,4,0.8017207504572473,0.012969716586141069,32216,363,0.011267693071765582,0.8122455435995191,0.03049355066086059,1237562385009.209,2.015572533462097,23574,8279,77,286,0.03339171044950379,0.7878787878787878,0.7400872759237749,0.06406810035842293,0.7639830319012814,0.7406257760119196,0.26586168363546064,0.25937422398808047,0.28088527439781474,0.30478644151974177,0.37648994288552273,,,
altman_zp,"Altman Z' (1983, five-variable)",formula,4,0.7649703860882487,0.011138270027607264,32216,363,0.011267693071765582,0.7722659161113653,0.028452064977328148,83540864661.76582,0.07759958098371844,23645,8208,98,265,0.03127581730201818,0.7300275482093664,0.7423162653439237,0.0599818922589407,0.736171906776645,0.7421777998510057,0.26300595977154206,0.25782220014899426,0.2851999006704743,0.3156195679165632,0.4068785696548299,,,
ohlson_o,Ohlson O-score (1980),formula,4,0.8058944723079561,0.014020846683341083,32216,363,0.011267693071765582,0.840243650260118,0.03429542755849732,242727.4887251044,-2.5766258066550782,26763,5090,153,210,0.03962264150943396,0.5785123966942148,0.84020343452736,0.07416563658838071,0.7093579156107874,0.8372547802334244,0.16451452694313384,0.1627452197665756,0.20548795629500868,0.25297988577104547,0.3954556741991557,,,
zmijewski,Zmijewski (1984),formula,4,0.809234967992684,0.01598272623407322,32216,363,0.011267693071765582,0.8413142536059459,0.03768683780586701,635769.4970496558,2.2859596014930856,27194,4659,136,227,0.04645927138763815,0.6253443526170799,0.8537343421341789,0.08649266526957515,0.7395393473756293,0.8511609138316365,0.15166376955550037,0.14883908616836355,0.18683262974919296,0.22904767817233673,0.35569282344176806,,,
logreg,logreg,ml,1,0.9023886192146874,0.024851797585433516,32216,60,0.001862428606903402,0.7779460546502468,0.024107534129593006,0.08841235007181175,0.992935836315155,31791,365,46,14,0.036939313984168866,0.23333333333333334,0.9886490857071775,0.06378132118451024,0.6109912095202554,0.9872423640427117,0.011764340700273157,0.012757635957288304,0.02560839334492178,0.039887012664514526,0.08272287062329277,0.024851797585433516,5.178771100006998,"{""C"": 17.647359885126413}"
svm_rbf,svm_rbf,ml,1,0.9036927541277038,0.02136506624946674,32216,60,0.001862428606903402,0.8302729920802753,0.017323949446226013,0.053973501325902645,0.928812545020056,31543,613,43,17,0.026984126984126985,0.2833333333333333,0.9809366836671227,0.049275362318840575,0.632135008500228,0.9796374472311895,0.019555500372485723,0.020362552768810528,0.03237521728333747,0.04572262229947852,0.08576483734790166,0.02136506624946674,6.97931230001268,"{""n_components"": 512, ""gamma"": 0.0007240128282665165, ""alpha"": 6.712150691649603e-05}"
random_forest,random_forest,ml,1,0.9284882036840514,0.15740170205417423,32216,60,0.001862428606903402,0.8749533524070158,0.09843898827554849,0.0025798594536978036,0.3497108066071373,32114,42,50,10,0.19230769230769232,0.16666666666666666,0.9986938673964424,0.17857142857142855,0.5826802670315545,0.9971442761360815,0.001614104792649615,0.0028557238639185497,0.016823938415694066,0.03234417680655575,0.0789048919791408,0.15740170205417423,35.99189259999548,"{""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 20, ""max_features"": 0.3}"
xgboost,xgboost,ml,1,0.9194703185908069,0.24993231385017156,32216,60,0.001862428606903402,0.8483968777211096,0.140623716704805,0.0018260912043098238,0.05929872393608093,32077,79,45,15,0.1595744680851064,0.25,0.9975432267694987,0.19480519480519481,0.6237716133847493,0.9961509808790663,0.0029178048174819966,0.0038490191209336975,0.01642041221753166,0.030388626769307175,0.07229327042463372,0.24993231385017156,9.52656259998912,"{""n_estimators"": 600, ""max_depth"": 5, ""learning_rate"": 0.10899272116649625, ""subsample"": 0.8, ""colsample_bytree"": 0.6, ""min_child_weight"": 5.0}"
