horizon,model,group_kind,group,n,n_positive,base_rate,n_firms,pr_auc,roc_auc,pr_auc_cluster_ci_low,pr_auc_cluster_ci_high,status
2,altman_zdp,SIC-2,16,176,4,0.022727272727272728,18,,,,,"too few (4 test positives, need 20)"
2,altman_zdp,SIC-2,17,142,0,0.0,15,,,,,"too few (0 test positives, need 20)"
2,altman_zdp,SIC-2,20,997,4,0.004012036108324975,99,,,,,"too few (4 test positives, need 20)"
2,altman_zdp,SIC-2,21,82,0,0.0,9,,,,,"too few (0 test positives, need 20)"
2,altman_zdp,SIC-2,22,85,0,0.0,8,,,,,"too few (0 test positives, need 20)"
2,altman_zdp,SIC-2,23,219,0,0.0,21,,,,,"too few (0 test positives, need 20)"
2,altman_zdp,SIC-2,24,149,2,0.013422818791946308,13,,,,,"too few (2 test positives, need 20)"
2,altman_zdp,SIC-2,25,199,0,0.0,18,,,,,"too few (0 test positives, need 20)"
2,altman_zdp,SIC-2,26,216,0,0.0,20,,,,,"too few (0 test positives, need 20)"
2,altman_zdp,SIC-2,27,128,0,0.0,11,,,,,"too few (0 test positives, need 20)"
2,altman_zdp,SIC-2,28,4357,31,0.0071149873766353,516,0.023329921663337472,0.8288741741607386,0.013157909518621582,0.05123663721687385,reported
2,altman_zdp,SIC-2,29,175,2,0.011428571428571429,16,,,,,"too few (2 test positives, need 20)"
2,altman_zdp,SIC-2,30,229,0,0.0,23,,,,,"too few (0 test positives, need 20)"
2,altman_zdp,SIC-2,31,108,0,0.0,9,,,,,"too few (0 test positives, need 20)"
2,altman_zdp,SIC-2,32,104,0,0.0,11,,,,,"too few (0 test positives, need 20)"
2,altman_zdp,SIC-2,33,384,0,0.0,33,,,,,"too few (0 test positives, need 20)"
2,altman_zdp,SIC-2,34,609,2,0.003284072249589491,55,,,,,"too few (2 test positives, need 20)"
2,altman_zdp,SIC-2,35,1738,7,0.004027617951668585,163,,,,,"too few (7 test positives, need 20)"
2,altman_zdp,SIC-2,36,2600,10,0.0038461538461538464,256,,,,,"too few (10 test positives, need 20)"
2,altman_zdp,SIC-2,37,1050,10,0.009523809523809525,112,,,,,"too few (10 test positives, need 20)"
2,altman_zdp,SIC-2,38,2963,16,0.005399932500843739,302,,,,,"too few (16 test positives, need 20)"
2,altman_zdp,SIC-2,39,340,2,0.0058823529411764705,33,,,,,"too few (2 test positives, need 20)"
2,altman_zdp,SIC-2,40,30,0,0.0,3,,,,,"too few (0 test positives, need 20)"
2,altman_zdp,SIC-2,42,161,2,0.012422360248447204,16,,,,,"too few (2 test positives, need 20)"
2,altman_zdp,SIC-2,44,120,0,0.0,10,,,,,"too few (0 test positives, need 20)"
2,altman_zdp,SIC-2,45,221,2,0.00904977375565611,23,,,,,"too few (2 test positives, need 20)"
2,altman_zdp,SIC-2,46,20,0,0.0,3,,,,,"too few (0 test positives, need 20)"
2,altman_zdp,SIC-2,47,234,0,0.0,24,,,,,"too few (0 test positives, need 20)"
2,altman_zdp,SIC-2,48,815,3,0.0036809815950920245,80,,,,,"too few (3 test positives, need 20)"
